"FORMATTED DATE_TIME","Temperature","Relative Humidity","Station Pressure","Heat Index","Dew Point","Density Altitude","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"2026-06-05 01:43:00 pm","73.9","42.9","29.80","72.1","49.9","1261","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:10 pm","74.0","42.9","29.79","72.3","50.1","1273","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:15 pm","74.0","43.0","29.80","72.3","50.1","1266","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:20 pm","73.9","43.0","29.80","72.1","50.0","1261","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:25 pm","73.9","43.0","29.80","72.1","50.0","1261","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:30 pm","73.9","43.1","29.80","72.1","50.0","1259","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:35 pm","74.0","43.1","29.80","72.3","50.1","1266","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:40 pm","73.9","43.1","29.80","72.1","50.1","1266","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:45 pm","74.1","43.1","29.80","72.3","50.2","1276","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:50 pm","74.0","43.1","29.80","72.3","50.1","1268","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:43:55 pm","74.0","43.0","29.80","72.3","50.1","1268","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:44:00 pm","74.0","43.0","29.80","72.3","50.1","1271","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:45:00 pm","74.0","43.1","29.80","72.3","50.1","1271","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:50:00 pm","74.0","43.1","29.80","72.3","50.2","1271","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 01:55:00 pm","74.0","42.7","29.80","72.1","50.0","1271","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:00:00 pm","73.7","42.2","29.80","72.0","49.4","1250","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:05:00 pm","74.0","41.6","29.80","72.1","49.2","1266","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:10:00 pm","74.1","41.2","29.80","72.1","49.1","1271","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:15:00 pm","73.9","41.2","29.80","72.0","48.9","1259","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:20:00 pm","73.5","40.6","29.80","71.6","48.1","1225","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:25:00 pm","73.2","41.4","29.80","71.4","48.4","1203","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:30:00 pm","73.3","41.5","29.80","71.4","48.5","1212","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:35:00 pm","73.2","41.5","29.80","71.2","48.4","1198","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:40:00 pm","72.9","41.9","29.80","71.2","48.4","1186","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:45:00 pm","72.6","42.1","29.80","70.9","48.3","1166","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:50:00 pm","72.8","41.8","29.80","71.1","48.3","1178","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 02:55:00 pm","73.2","42.5","29.80","71.6","49.1","1203","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:00:00 pm","73.5","41.2","29.80","71.6","48.5","1225","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:30:00 pm","76.1","40.0","29.80","73.6","50.0","1390","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:35:00 pm","75.9","40.4","29.80","73.8","50.2","1383","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:40:00 pm","75.8","40.8","29.80","73.6","50.3","1380","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:45:00 pm","75.6","40.8","29.81","73.4","50.1","1361","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:50:00 pm","75.7","41.0","29.81","73.4","50.4","1363","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 03:55:00 pm","75.8","40.6","29.81","73.6","50.2","1371","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:00:00 pm","75.9","41.0","29.80","73.6","50.5","1383","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:05:00 pm","75.9","40.5","29.81","73.6","50.2","1378","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:10:00 pm","75.8","40.2","29.80","73.6","49.9","1378","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:15:00 pm","75.2","41.1","29.80","73.2","50.0","1337","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:20:00 pm","74.7","41.9","29.81","72.9","50.1","1303","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:25:00 pm","74.8","41.5","29.80","72.7","49.9","1310","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:30:00 pm","75.3","40.4","29.80","73.0","49.6","1339","point",,,,"PHONE/TABLET LOCATION",,"",
"2026-06-05 04:35:00 pm","75.0","40.7","29.80","72.9","49.5","1320","point",,,,"PHONE/TABLET LOCATION",,"",
